news_id,date,stock,name,sector,language,headline,content,event_type,true_label
N001149,2023-06-07,UNILEVER,Unilever Consumer Care,Consumer,bn,Unilever Consumer Care লভ্যাংশের রেকর্ড তারিখ নির্ধারণ করেছে,Unilever Consumer Care লভ্যাংশের রেকর্ড তারিখ নির্ধারণ করেছে,dividend,neutral
N000214,2022-11-17,EBL,Eastern Bank PLC,Bank,en,Eastern Bank PLC skips dividend amid cash crunch,"Eastern Bank PLC will not declare a dividend this year, the board announced, citing a 12% decline in profitability and the need to preserve capital. Shareholders reacted cautiously and the stock slipped on the news.",dividend,negative
N000933,2010-07-23,SUMITPOWER,Summit Power International,Power,en,BSEC issues new disclosure rules affecting Summit Power International,BSEC has issued new disclosure rules that will affect how Summit Power International reports quarterly results. The company said it is reviewing the guidelines and will ensure full compliance within the stipulated timeline.,regulatory,neutral
N000229,2013-11-08,EBL,Eastern Bank PLC,Bank,en,Eastern Bank PLC under foreign exchange violation probe,BSEC has suspended trading of Eastern Bank PLC for 10 days following a probe into compliance breaches. The regulator said the action is aimed at protecting investor interest until the matter is resolved.,regulatory,negative
N001224,2023-08-03,WALTONHIL,Walton Hi-Tech Industries,Electronics,en,Walton Hi-Tech Industries to release Q2 results next week,"Walton Hi-Tech Industries is scheduled to release its Q2 financial results next week. The board has approved the financial statements for submission to the regulator and a press release will follow, the company secretary said.",earnings,neutral
N000475,2019-11-25,SIBL,Social Islami Bank Limited,Bank,bn,Social Islami Bank Limited দুর্নীতি তদন্তে দুদক থেকে অব্যাহতি,Social Islami Bank Limited দুর্নীতি তদন্তে দুদক থেকে অব্যাহতি,regulatory,positive
N001271,2026-07-04,BEXIMCO,BEXIMCO Limited,Conglomerate,bn,BEXIMCO Limited বার্ষিক সাধারণ সভা অনুষ্ঠিত,BEXIMCO Limited বার্ষিক সাধারণ সভা অনুষ্ঠিত,expansion,neutral
N000125,2024-02-13,DBBL,Dutch-Bangla Bank PLC,Bank,bn,বাংলাদেশের GDP প্রবৃদ্ধি 22% লক্ষ্যমাত্রা ছাড়িয়েছে,বাংলাদেশের GDP প্রবৃদ্ধি 22% লক্ষ্যমাত্রা ছাড়িয়েছে,macro,positive
N000433,2019-10-01,PRIMEBANK,Prime Bank Limited,Bank,bn,Prime Bank Limited দুটি কারখানা বন্ধ করেছে,Prime Bank Limited দুটি কারখানা বন্ধ করেছে,expansion,negative
N001294,2018-10-15,BEXIMCO,BEXIMCO Limited,Conglomerate,bn,BEXIMCO Limited লোকসানে পড়েছে,BEXIMCO Limited লোকসানে পড়েছে,earnings,negative
N000594,2024-01-26,RENATA,Renata Limited,Pharma,bn,Renata Limited লভ্যাংশের রেকর্ড তারিখ নির্ধারণ করেছে,Renata Limited লভ্যাংশের রেকর্ড তারিখ নির্ধারণ করেছে,dividend,neutral
N000903,2010-03-10,SUMITPOWER,Summit Power International,Power,bn,Summit Power International তৃতীয় প্রান্তিকে লক্ষ্যমাত্রা অর্জন করতে পারেনি,Summit Power International তৃতীয় প্রান্তিকে লক্ষ্যমাত্রা অর্জন করতে পারেনি,earnings,negative
N001061,2010-10-29,MARICO,Marico Bangladesh Limited,Consumer,en,Court orders asset freeze on Marico Bangladesh Limited directors,The Marico Bangladesh Limited CEO was arrested by the ACC in connection with a multi-crore loan scam involving several defaulters. The regulator has also ordered an asset freeze on company directors pending investigation.,scandal,negative
N000958,2015-09-16,HEIDELBCEM,Heidelberg Cement Bangladesh,Cement,bn,Heidelberg Cement Bangladesh তৃতীয় প্রান্তিকে লক্ষ্যমাত্রা অর্জন করতে পারেনি,Heidelberg Cement Bangladesh তৃতীয় প্রান্তিকে লক্ষ্যমাত্রা অর্জন করতে পারেনি,earnings,negative
N001146,2013-04-12,UNILEVER,Unilever Consumer Care,Consumer,en,Unilever Consumer Care defers Tk500 crore expansion plan,"Unilever Consumer Care has deferred its Tk50 crore expansion plan, citing the current macroeconomic environment and rising financing costs. The company said it will revisit the project once conditions improve.",expansion,negative
N000519,2018-01-29,SQURPHARMA,Square Pharmaceuticals PLC,Pharma,en,Square Pharmaceuticals PLC Q3 profit slumps 20% as costs soar,"Square Pharmaceuticals PLC swung to a loss in Q3 as rising input costs and weaker demand eroded margins. Revenue fell 12% year-on-year and operating expenses climbed, prompting management to defer expansion plans and review costs.",earnings,negative
N000591,2026-01-08,RENATA,Renata Limited,Pharma,bn,Renata Limited পরবর্তী সপ্তাহে Q4 ফলাফল প্রকাশ করবে,Renata Limited পরবর্তী সপ্তাহে Q4 ফলাফল প্রকাশ করবে,earnings,neutral
N000310,2019-05-06,MUTUALTRUST,Mutual Trust Bank Limited,Bank,bn,বিএসইসি নতুন প্রকাশনা নিয়ম জারি করেছে,বিএসইসি নতুন প্রকাশনা নিয়ম জারি করেছে,regulatory,neutral
N001408,2021-05-17,CUSTOMERS,Customer's Care PLC,Services,en,Customer's Care PLC cleared by ACC in corruption probe,Customer's Care PLC secured Bangladesh Bank approval to launch a new product in the services segment. The clearance comes after a year-long review process and the company plans a phased rollout beginning next month.,regulatory,positive
N001038,2012-09-07,LAFARGECEM,LafargeHolcim Bangladesh,Cement,bn,LafargeHolcim Bangladesh দুর্নীতি তদন্তে দুদক থেকে অব্যাহতি,LafargeHolcim Bangladesh দুর্নীতি তদন্তে দুদক থেকে অব্যাহতি,regulatory,positive
N000898,2015-06-15,POWERGRID,Power Grid Company of Bangladesh,Power,en,Power Grid Company of Bangladesh cleared by ACC in corruption probe,Power Grid Company of Bangladesh secured Bangladesh Bank approval to launch a new product in the power segment. The clearance comes after a year-long review process and the company plans a phased rollout beginning next month.,regulatory,positive
N000953,2022-11-25,HEIDELBCEM,Heidelberg Cement Bangladesh,Cement,en,Heidelberg Cement Bangladesh fined Tk750 crore by BB for compliance breach,BSEC has suspended trading of Heidelberg Cement Bangladesh for 4 days following a probe into compliance breaches. The regulator said the action is aimed at protecting investor interest until the matter is resolved.,regulatory,negative
N000317,2018-08-13,MUTUALTRUST,Mutual Trust Bank Limited,Bank,bn,Mutual Trust Bank Limited কে বাংলাদেশ ব্যাংক টাকা 100 কোটি জরিমানা,Mutual Trust Bank Limited কে বাংলাদেশ ব্যাংক টাকা 100 কোটি জরিমানা,regulatory,negative
N001181,2018-08-01,BATBC,British American Tobacco Bangladesh,Tobacco,en,BSEC issues new disclosure rules affecting British American Tobacco Bangladesh,BSEC has issued new disclosure rules that will affect how British American Tobacco Bangladesh reports quarterly results. The company said it is reviewing the guidelines and will ensure full compliance within the stipulated timeline.,regulatory,neutral
N000157,2014-03-26,DUTCHBANGL,Dutch-Bangla Bank PLC,Bank,bn,রপ্তানি বৃদ্ধিতে টাকা মূল্যবৃদ্ধি,রপ্তানি বৃদ্ধিতে টাকা মূল্যবৃদ্ধি,macro,positive
N000536,2011-09-04,SQURPHARMA,Square Pharmaceuticals PLC,Pharma,en,Square Pharmaceuticals PLC sets record date for dividend,"Square Pharmaceuticals PLC has set the record date for entitlement to the recently declared dividend. Shareholders holding shares on the record date will be eligible for the payout, the company said in a regulatory filing.",dividend,neutral
N000355,2024-05-20,NCCBANK,National Credit & Commerce Bank,Bank,bn,বিএসইসি নতুন প্রকাশনা নিয়ম জারি করেছে,বিএসইসি নতুন প্রকাশনা নিয়ম জারি করেছে,regulatory,neutral
N000549,2019-07-26,SQURPHARMA,Square Pharmaceuticals PLC,Pharma,en,Square Pharmaceuticals PLC announces special dividend on strong reserves,"The board of Square Pharmaceuticals PLC has recommended a 20% cash dividend for shareholders for the just-ended financial year, citing strong reserves and steady cash flow. The record date has been set and approval will be sought at the upcoming AGM.",dividend,positive
N000213,2020-10-23,EBL,Eastern Bank PLC,Bank,bn,Eastern Bank PLC তৃতীয় প্রান্তিকে লক্ষ্যমাত্রা অর্জন করতে পারেনি,Eastern Bank PLC তৃতীয় প্রান্তিকে লক্ষ্যমাত্রা অর্জন করতে পারেনি,earnings,negative
N000428,2016-01-19,PRIMEBANK,Prime Bank Limited,Bank,en,"Prime Bank Limited posts record quarterly profit, beats estimates","Prime Bank Limited reported Q3 earnings that beat analyst estimates by 15%, driven by stronger-than-expected demand in the core bank segment. Management attributed the performance to improved margins and a 15% rise in revenue, and said it expects the momentum to continue next quarter.",earnings,positive
N000417,2025-07-12,PRIMEBANK,Prime Bank Limited,Bank,bn,Prime Bank Limited এর সিইও ঋণ জালিয়াতিতে গ্রেফতার,Prime Bank Limited এর সিইও ঋণ জালিয়াতিতে গ্রেফতার,scandal,negative
N000710,2025-04-23,GP,Grameenphone Limited,Telecom,en,Grameenphone Limited defers Tk750 crore expansion plan,"Grameenphone Limited has deferred its Tk250 crore expansion plan, citing the current macroeconomic environment and rising financing costs. The company said it will revisit the project once conditions improve.",expansion,negative
N000431,2019-04-12,PRIMEBANK,Prime Bank Limited,Bank,bn,Prime Bank Limited পরবর্তী সপ্তাহে Q3 ফলাফল প্রকাশ করবে,Prime Bank Limited পরবর্তী সপ্তাহে Q3 ফলাফল প্রকাশ করবে,earnings,neutral
N000416,2012-02-21,PRIMEBANK,Prime Bank Limited,Bank,bn,Prime Bank Limited নতুন পণ্যের জন্য কেন্দ্রীয় ব্যাংকের অনুমোদন পেয়েছে,Prime Bank Limited নতুন পণ্যের জন্য কেন্দ্রীয় ব্যাংকের অনুমোদন পেয়েছে,regulatory,positive
N001442,2020-05-07,CUSTOMERS,Customer's Care PLC,Services,en,Customer's Care PLC enters Sri Lanka market with strategic partnership,"Customer's Care PLC unveiled plans to invest Tk500 crore in a new services facility expected to create 2000 jobs. The project, financed through a mix of retained earnings and bank loans, is slated for commissioning within 18 months.",expansion,positive
N000481,2015-12-31,SIBL,Social Islami Bank Limited,Bank,bn,বিএসইসি নতুন প্রকাশনা নিয়ম জারি করেছে,বিএসইসি নতুন প্রকাশনা নিয়ম জারি করেছে,regulatory,neutral
N001517,2018-08-15,DSEX,DSE Broad Index,Index,bn,DSE Broad Index এর নিরীক্ষক হিসাববিজ্ঞান উদ্বেগে পদত্যাগ,DSE Broad Index এর নিরীক্ষক হিসাববিজ্ঞান উদ্বেগে পদত্যাগ,scandal,negative
N000066,2012-08-02,BRACBANK,BRAC Bank Limited,Bank,en,BRAC Bank Limited enters Myanmar market with strategic partnership,"BRAC Bank Limited unveiled plans to invest Tk250 crore in a new bank facility expected to create 3000 jobs. The project, financed through a mix of retained earnings and bank loans, is slated for commissioning within 18 months.",expansion,positive
N000817,2017-09-15,ROBI,Robi Axiata Limited,Telecom,bn,Robi Axiata Limited মূলধন সংরক্ষণে লভ্যাংশ 10% কমিয়েছে,Robi Axiata Limited মূলধন সংরক্ষণে লভ্যাংশ 10% কমিয়েছে,dividend,negative
N000267,2010-02-13,ISLAMI BANK,Islami Bank Bangladesh PLC,Bank,en,Islami Bank Bangladesh PLC Q4 profit slumps 40% as costs soar,"Islami Bank Bangladesh PLC swung to a loss in Q4 as rising input costs and weaker demand eroded margins. Revenue fell 30% year-on-year and operating expenses climbed, prompting management to defer expansion plans and review costs.",earnings,negative
N001047,2010-06-03,LAFARGECEM,LafargeHolcim Bangladesh,Cement,bn,ঋণ খেলাপির গুজবে LafargeHolcim Bangladesh এর শেয়ার নিম্ন সার্কিটে,ঋণ খেলাপির গুজবে LafargeHolcim Bangladesh এর শেয়ার নিম্ন সার্কিটে,scandal,negative
N000057,2025-07-01,BRACBANK,BRAC Bank Limited,Bank,en,BRAC Bank Limited sets record date for dividend,"BRAC Bank Limited has set the record date for entitlement to the recently declared dividend. Shareholders holding shares on the record date will be eligible for the payout, the company said in a regulatory filing.",dividend,neutral
N001113,2025-04-22,UNILEVER,Unilever Consumer Care,Consumer,en,Unilever Consumer Care cleared by ACC in corruption probe,Unilever Consumer Care secured Bangladesh Bank approval to launch a new product in the consumer segment. The clearance comes after a year-long review process and the company plans a phased rollout beginning next month.,regulatory,positive
N000927,2010-12-14,SUMITPOWER,Summit Power International,Power,en,Summit Power International sets record date for dividend,"Summit Power International has set the record date for entitlement to the recently declared dividend. Shareholders holding shares on the record date will be eligible for the payout, the company said in a regulatory filing.",dividend,neutral
N001024,2010-09-29,LAFARGECEM,LafargeHolcim Bangladesh,Cement,bn,LafargeHolcim Bangladesh নতুন উৎপাদন লাইনের জন্য চুক্তি স্বাক্ষর,LafargeHolcim Bangladesh নতুন উৎপাদন লাইনের জন্য চুক্তি স্বাক্ষর,expansion,positive
N000391,2017-05-29,NCCBANK,National Credit & Commerce Bank,Bank,en,Taka strengthens against US dollar on export growth,DSEX crossed the 400 mark today on a broad-based rally led by bank and pharma stocks. Analysts said positive macro indicators including remittance growth and contained inflation have boosted investor confidence.,macro,positive
N001527,2024-01-03,DSEX,DSE Broad Index,Index,en,DSE Broad Index to release Q1 results next week,"DSE Broad Index is scheduled to release its Q1 financial results next week. The board has approved the financial statements for submission to the regulator and a press release will follow, the company secretary said.",earnings,neutral
N001423,2017-02-17,CUSTOMERS,Customer's Care PLC,Services,bn,Customer's Care PLC বৈদেশিক মুদ্রা লঙ্ঘনের তদন্তে,Customer's Care PLC বৈদেশিক মুদ্রা লঙ্ঘনের তদন্তে,regulatory,negative
N001516,2024-11-11,DSEX,DSE Broad Index,Index,bn,DSE Broad Index শেয়ারহোল্ডারদের জন্য 22% নগদ লভ্যাংশ ঘোষণা,DSE Broad Index শেয়ারহোল্ডারদের জন্য 22% নগদ লভ্যাংশ ঘোষণা,dividend,positive
N000629,2017-06-07,ACI,ACI Limited,Pharma,bn,ACI Limited দুটি কারখানা বন্ধ করেছে,ACI Limited দুটি কারখানা বন্ধ করেছে,expansion,negative
N000637,2020-09-15,ACI,ACI Limited,Pharma,bn,ACI Limited এর সিইও ঋণ জালিয়াতিতে গ্রেফতার,ACI Limited এর সিইও ঋণ জালিয়াতিতে গ্রেফতার,scandal,negative
N000562,2014-11-28,RENATA,Renata Limited,Pharma,en,Renata Limited board approves financial statements,"Renata Limited is scheduled to release its Q4 financial results next week. The board has approved the financial statements for submission to the regulator and a press release will follow, the company secretary said.",earnings,neutral
N000826,2017-04-18,ROBI,Robi Axiata Limited,Telecom,en,Robi Axiata Limited auditors resign over accounting concerns,The Robi Axiata Limited CEO was arrested by the ACC in connection with a multi-crore loan scam involving several defaulters. The regulator has also ordered an asset freeze on company directors pending investigation.,scandal,negative
N000156,2020-11-11,DUTCHBANGL,Dutch-Bangla Bank PLC,Bank,bn,Dutch-Bangla Bank PLC দুটি কারখানা বন্ধ করেছে,Dutch-Bangla Bank PLC দুটি কারখানা বন্ধ করেছে,expansion,negative
N000559,2026-07-22,RENATA,Renata Limited,Pharma,bn,বাংলাদেশে মুদ্রাস্ফীতি 18% এ উঠেছে,বাংলাদেশে মুদ্রাস্ফীতি 18% এ উঠেছে,macro,negative
N000415,2011-11-09,PRIMEBANK,Prime Bank Limited,Bank,en,Prime Bank Limited shares hit lower circuit on loan default rumours,The Prime Bank Limited CEO was arrested by the ACC in connection with a multi-crore loan scam involving several defaulters. The regulator has also ordered an asset freeze on company directors pending investigation.,scandal,negative
N001404,2015-10-01,CUSTOMERS,Customer's Care PLC,Services,en,Customer's Care PLC shuts two plants on energy costs,"Customer's Care PLC has deferred its Tk500 crore expansion plan, citing the current macroeconomic environment and rising financing costs. The company said it will revisit the project once conditions improve.",expansion,negative
N001169,2021-02-12,BATBC,British American Tobacco Bangladesh,Tobacco,en,"Bangladesh inflation climbs to 25%, highest in 6 years",DSEX plunged in tandem with regional markets as global risk-off sentiment triggered selling across emerging markets. Concerns over inflation at 30% and a weaker taka added to the pressure on Bangladeshi equities.,macro,negative
N001164,2022-12-20,BATBC,British American Tobacco Bangladesh,Tobacco,bn,British American Tobacco Bangladesh পরবর্তী সপ্তাহে Q3 ফলাফল প্রকাশ করবে,British American Tobacco Bangladesh পরবর্তী সপ্তাহে Q3 ফলাফল প্রকাশ করবে,earnings,neutral
N001508,2014-04-03,DSEX,DSE Broad Index,Index,en,Analysts upgrade DSE Broad Index on strong earnings momentum,"DSE Broad Index reported Q1 earnings that beat analyst estimates by 22%, driven by stronger-than-expected demand in the core index segment. Management attributed the performance to improved margins and a 22% rise in revenue, and said it expects the momentum to continue next quarter.",earnings,positive
N000440,2016-04-15,PRIMEBANK,Prime Bank Limited,Bank,en,Prime Bank Limited CEO arrested in loan scam,The Prime Bank Limited CEO was arrested by the ACC in connection with a multi-crore loan scam involving several defaulters. The regulator has also ordered an asset freeze on company directors pending investigation.,scandal,negative
N000476,2024-08-29,SIBL,Social Islami Bank Limited,Bank,en,Social Islami Bank Limited skips dividend amid cash crunch,"Social Islami Bank Limited will not declare a dividend this year, the board announced, citing a 25% decline in profitability and the need to preserve capital. Shareholders reacted cautiously and the stock slipped on the news.",dividend,negative
N001478,2019-06-17,DSEX,DSE Broad Index,Index,bn,উচ্চ মুনাফার কারণে DSE Broad Index এর রেটিং উন্নীত,উচ্চ মুনাফার কারণে DSE Broad Index এর রেটিং উন্নীত,earnings,positive
N000697,2025-08-12,BEXPHARMA,BEXIMCO Pharmaceuticals,Pharma,en,"BEXIMCO Pharmaceuticals holds AGM, discusses future investments","At its AGM, BEXIMCO Pharmaceuticals discussed future investment plans and answered shareholder queries on capital allocation. Management said it is evaluating several options but no final decision has been taken yet.",expansion,neutral
N000007,2017-09-18,BANKASIA,Bank Asia Limited,Bank,en,Bank Asia Limited fined Tk150 crore by BB for compliance breach,BSEC has suspended trading of Bank Asia Limited for 2 days following a probe into compliance breaches. The regulator said the action is aimed at protecting investor interest until the matter is resolved.,regulatory,negative
N001368,2014-10-09,JAMUNAOIL,Jamuna Oil Company,Fuel,en,BSEC issues new disclosure rules affecting Jamuna Oil Company,BSEC has issued new disclosure rules that will affect how Jamuna Oil Company reports quarterly results. The company said it is reviewing the guidelines and will ensure full compliance within the stipulated timeline.,regulatory,neutral
N000770,2025-04-07,BSCCL,Bangladesh Submarine Cable Company,Telecom,en,Court orders asset freeze on Bangladesh Submarine Cable Company directors,The Bangladesh Submarine Cable Company CEO was arrested by the ACC in connection with a multi-crore loan scam involving several defaulters. The regulator has also ordered an asset freeze on company directors pending investigation.,scandal,negative
N001302,2026-03-20,TITASGAS,Titas Gas Transmission,Gas,bn,টাকা অবমূল্যায়নে কর্পোরেট মুনাফায় চাপ,টাকা অবমূল্যায়নে কর্পোরেট মুনাফায় চাপ,macro,negative
N000353,2010-10-25,NCCBANK,National Credit & Commerce Bank,Bank,bn,National Credit & Commerce Bank এর বিরুদ্ধে অভ্যন্তরীণ বাণিজ্যের তদন্ত,National Credit & Commerce Bank এর বিরুদ্ধে অভ্যন্তরীণ বাণিজ্যের তদন্ত,scandal,negative
N000728,2022-09-22,GP,Grameenphone Limited,Telecom,en,Grameenphone Limited board approves financial statements,"Grameenphone Limited is scheduled to release its Q1 financial results next week. The board has approved the financial statements for submission to the regulator and a press release will follow, the company secretary said.",earnings,neutral
N001496,2011-03-19,DSEX,DSE Broad Index,Index,en,Bangladesh GDP growth beats forecasts at 12%,DSEX crossed the 400 mark today on a broad-based rally led by bank and pharma stocks. Analysts said positive macro indicators including remittance growth and contained inflation have boosted investor confidence.,macro,positive
N001231,2010-08-13,WALTONHIL,Walton Hi-Tech Industries,Electronics,bn,Walton Hi-Tech Industries পরবর্তী সপ্তাহে Q2 ফলাফল প্রকাশ করবে,Walton Hi-Tech Industries পরবর্তী সপ্তাহে Q2 ফলাফল প্রকাশ করবে,earnings,neutral
N000630,2020-07-21,ACI,ACI Limited,Pharma,bn,ACI Limited পরবর্তী সপ্তাহে Q2 ফলাফল প্রকাশ করবে,ACI Limited পরবর্তী সপ্তাহে Q2 ফলাফল প্রকাশ করবে,earnings,neutral
N001413,2024-04-29,CUSTOMERS,Customer's Care PLC,Services,bn,Customer's Care PLC লভ্যাংশের রেকর্ড তারিখ নির্ধারণ করেছে,Customer's Care PLC লভ্যাংশের রেকর্ড তারিখ নির্ধারণ করেছে,dividend,neutral
N000421,2026-08-04,PRIMEBANK,Prime Bank Limited,Bank,en,Prime Bank Limited sets record date for dividend,"Prime Bank Limited has set the record date for entitlement to the recently declared dividend. Shareholders holding shares on the record date will be eligible for the payout, the company said in a regulatory filing.",dividend,neutral
N000806,2016-04-08,ROBI,Robi Axiata Limited,Telecom,bn,Robi Axiata Limited নতুন পণ্যের জন্য কেন্দ্রীয় ব্যাংকের অনুমোদন পেয়েছে,Robi Axiata Limited নতুন পণ্যের জন্য কেন্দ্রীয় ব্যাংকের অনুমোদন পেয়েছে,regulatory,positive
N000733,2019-08-09,GP,Grameenphone Limited,Telecom,en,Grameenphone Limited signs MoU for new production line,"Grameenphone Limited unveiled plans to invest Tk50 crore in a new telecom facility expected to create 2000 jobs. The project, financed through a mix of retained earnings and bank loans, is slated for commissioning within 18 months.",expansion,positive
N000589,2023-03-24,RENATA,Renata Limited,Pharma,en,Audit flags irregularities at Renata Limited,"Renata Limited swung to a loss in Q4 as rising input costs and weaker demand eroded margins. Revenue fell 10% year-on-year and operating expenses climbed, prompting management to defer expansion plans and review costs.",earnings,negative
N000929,2016-10-28,SUMITPOWER,Summit Power International,Power,en,Summit Power International defers Tk250 crore expansion plan,"Summit Power International has deferred its Tk500 crore expansion plan, citing the current macroeconomic environment and rising financing costs. The company said it will revisit the project once conditions improve.",expansion,negative
N001241,2021-01-29,WALTONHIL,Walton Hi-Tech Industries,Electronics,en,Bangladesh GDP growth beats forecasts at 35%,DSEX crossed the 400 mark today on a broad-based rally led by bank and pharma stocks. Analysts said positive macro indicators including remittance growth and contained inflation have boosted investor confidence.,macro,positive
N001544,2012-08-03,DSEX,DSE Broad Index,Index,en,Regulator probes DSE Broad Index for insider trading,The DSE Broad Index CEO was arrested by the ACC in connection with a multi-crore loan scam involving several defaulters. The regulator has also ordered an asset freeze on company directors pending investigation.,scandal,negative
N001474,2025-02-20,DSEX,DSE Broad Index,Index,bn,DSE Broad Index দুর্নীতি তদন্তে দুদক থেকে অব্যাহতি,DSE Broad Index দুর্নীতি তদন্তে দুদক থেকে অব্যাহতি,regulatory,positive
N000363,2012-08-24,NCCBANK,National Credit & Commerce Bank,Bank,bn,National Credit & Commerce Bank মূলধন সংরক্ষণে লভ্যাংশ 15% কমিয়েছে,National Credit & Commerce Bank মূলধন সংরক্ষণে লভ্যাংশ 15% কমিয়েছে,dividend,negative
N000530,2010-01-12,SQURPHARMA,Square Pharmaceuticals PLC,Pharma,en,IMF loan conditions worry Bangladeshi corporates,DSEX plunged in tandem with regional markets as global risk-off sentiment triggered selling across emerging markets. Concerns over inflation at 12% and a weaker taka added to the pressure on Bangladeshi equities.,macro,negative
N000910,2010-08-30,SUMITPOWER,Summit Power International,Power,en,Summit Power International fined Tk250 crore by BB for compliance breach,BSEC has suspended trading of Summit Power International for 2 days following a probe into compliance breaches. The regulator said the action is aimed at protecting investor interest until the matter is resolved.,regulatory,negative
N001032,2012-03-16,LAFARGECEM,LafargeHolcim Bangladesh,Cement,bn,LafargeHolcim Bangladesh বার্ষিক সাধারণ সভা অনুষ্ঠিত,LafargeHolcim Bangladesh বার্ষিক সাধারণ সভা অনুষ্ঠিত,expansion,neutral
N001068,2016-02-22,MARICO,Marico Bangladesh Limited,Consumer,en,Marico Bangladesh Limited skips dividend amid cash crunch,"Marico Bangladesh Limited will not declare a dividend this year, the board announced, citing a 35% decline in profitability and the need to preserve capital. Shareholders reacted cautiously and the stock slipped on the news.",dividend,negative
N000496,2025-08-08,SIBL,Social Islami Bank Limited,Bank,en,Social Islami Bank Limited commissions largest solar plant in South Asia,"Social Islami Bank Limited unveiled plans to invest Tk200 crore in a new bank facility expected to create 1500 jobs. The project, financed through a mix of retained earnings and bank loans, is slated for commissioning within 18 months.",expansion,positive
N000850,2018-11-16,ROBI,Robi Axiata Limited,Telecom,en,"Robi Axiata Limited declares higher EPS, shares trade at premium","Robi Axiata Limited reported Q2 earnings that beat analyst estimates by 35%, driven by stronger-than-expected demand in the core telecom segment. Management attributed the performance to improved margins and a 35% rise in revenue, and said it expects the momentum to continue next quarter.",earnings,positive
N000506,2024-04-24,SQURPHARMA,Square Pharmaceuticals PLC,Pharma,bn,Square Pharmaceuticals PLC নতুন পণ্যের জন্য কেন্দ্রীয় ব্যাংকের অনুমোদন পেয়েছে,Square Pharmaceuticals PLC নতুন পণ্যের জন্য কেন্দ্রীয় ব্যাংকের অনুমোদন পেয়েছে,regulatory,positive
N001554,2014-04-04,DSEX,DSE Broad Index,Index,bn,DSE Broad Index কর ফাঁকির অভিযোগে,DSE Broad Index কর ফাঁকির অভিযোগে,scandal,negative
N000361,2015-04-14,NCCBANK,National Credit & Commerce Bank,Bank,en,National Credit & Commerce Bank faces tax evasion charges,The National Credit & Commerce Bank CEO was arrested by the ACC in connection with a multi-crore loan scam involving several defaulters. The regulator has also ordered an asset freeze on company directors pending investigation.,scandal,negative
N001106,2015-05-08,UNILEVER,Unilever Consumer Care,Consumer,en,DSEX plunges on global market rout,DSEX plunged in tandem with regional markets as global risk-off sentiment triggered selling across emerging markets. Concerns over inflation at 15% and a weaker taka added to the pressure on Bangladeshi equities.,macro,negative
